일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자,합계 발생,살인 발생,강도 발생,강간.강제추행 발생,절도 발생,폭력 발생
11-Sep,21.8,26.6,32.4,2011-09-02,17.7,10.3,2011-09-30,"""10858""","""21""","""68""","""437""","""4297""","""6035"""
11-Oct,14.2,19.3,23.4,2011-10-13,9.7,3.1,2011-10-26,"""10930""","""16""","""68""","""423""","""4336""","""6087"""
11-Nov,10.7,14.7,25.9,2011-11-05,7.2,-5.5,2011-11-24,"""10667""","""22""","""47""","""400""","""4121""","""6077"""
11-Dec,-0.9,2.9,9.1,2011-12-03,-4.1,-10.6,2011-12-17,"""10181""","""19""","""87""","""333""","""4004""","""5738"""
12-Jan,-2.8,1.3,8.4,2012-01-19,-6.3,-12.2,2012-01-23,"""9299""","""15""","""43""","""279""","""3727""","""5235"""
12-Feb,-2.0,3.0,12.1,2012-02-22,-6.0,-17.1,2012-02-02,"""8382""","""15""","""46""","""297""","""3341""","""4683"""
12-Mar,5.1,9.5,16.2,2012-03-29,1.5,-5.7,2012-03-12,"""9621""","""11""","""44""","""309""","""3839""","""5418"""
12-Apr,12.3,17.9,29.4,2012-04-30,7.8,0.6,2012-04-07,"""10911""","""19""","""59""","""380""","""4601""","""5852"""
12-May,19.7,25.1,29.3,2012-05-22,15.4,12.0,2012-05-18,"""12357""","""16""","""56""","""467""","""5392""","""6426"""
12-Jun,24.1,29.7,33.5,2012-06-19,20.0,16.3,2012-06-01,"""12370""","""15""","""36""","""479""","""5494""","""6346"""
12-Jul,25.4,29.0,33.2,2012-07-29,22.4,18.5,2012-07-07,"""13730""","""22""","""50""","""595""","""6288""","""6775"""
12-Aug,27.1,30.9,36.7,2012-08-05,23.9,18.7,2012-08-31,"""13371""","""17""","""74""","""480""","""6287""","""6513"""
12-Sep,21.0,25.0,29.5,2012-09-02,17.4,12.0,2012-09-30,"""11847""","""10""","""43""","""480""","""5328""","""5986"""
12-Oct,15.3,20.5,26.0,2012-10-03,11.0,2.8,2012-10-31,"""13204""","""14""","""38""","""458""","""6131""","""6563"""
12-Nov,5.5,9.5,15.7,2012-11-03,1.8,-3.0,2012-11-30,"""11597""","""16""","""39""","""381""","""5602""","""5559"""
12-Dec,-4.1,-0.5,8.3,2012-12-15,-7.4,-14.5,2012-12-26,"""11036""","""9""","""42""","""303""","""5406""","""5276"""
13-Jan,-3.4,0.3,11.5,2013-01-31,-6.6,-16.4,2013-01-03,"""10209""","""15""","""38""","""308""","""4858""","""4990"""
13-Feb,-1.2,2.8,13.9,2013-02-28,-4.9,-15.8,2013-02-08,"""8897""","""13""","""39""","""271""","""4382""","""4192"""
13-Mar,5.1,10.8,23.8,2013-03-09,0.7,-4.4,2013-03-02,"""9620""","""9""","""45""","""364""","""4266""","""4936"""
13-Apr,10.0,15.0,21.6,2013-04-28,5.7,1.3,2013-04-10,"""10790""","""12""","""52""","""448""","""4915""","""5363"""
13-May,18.2,23.6,31.8,2013-05-25,13.7,7.9,2013-05-06,"""11572""","""15""","""33""","""487""","""5203""","""5834"""
13-Jun,24.4,29.2,32.6,2013-06-29,20.5,16.3,2013-06-02,"""12209""","""9""","""35""","""554""","""5871""","""5740"""
13-Jul,25.5,28.3,31.3,2013-07-01,23.4,20.5,2013-07-03,"""12826""","""15""","""25""","""590""","""5830""","""6366"""
13-Aug,27.7,31.1,33.9,2013-08-21,24.8,21.1,2013-08-31,"""12035""","""16""","""36""","""537""","""5650""","""5796"""
13-Sep,21.8,25.9,31.1,2013-09-18,18.0,10.9,2013-09-27,"""11724""","""12""","""22""","""485""","""5602""","""5603"""
13-Oct,15.8,21.2,28.1,2013-10-05,10.9,4.3,2013-10-26,"""12343""","""16""","""32""","""589""","""5690""","""6016"""
13-Nov,6.2,10.7,20.7,2013-11-01,2.1,-6.4,2013-11-28,"""10457""","""13""","""29""","""346""","""4702""","""5367"""
13-Dec,-0.2,3.5,11.0,2013-12-07,-3.5,-9.8,2013-12-28,"""10284""","""7""","""34""","""408""","""4616""","""5219"""
