지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Nov-78,7.9,12.7,18.2,1978-11-07,4.1,-5,1978-11-29
108,서울,Dec-78,1.6,5.6,14.6,1978-12-08,-1.6,-10.7,1978-12-30
108,서울,Jan-79,0.9,5.1,13.4,1979-01-09,-2.8,-10.9,1979-01-14
108,서울,Feb-79,0.6,5,17.4,1979-02-21,-2.8,-13,1979-02-02
108,서울,Mar-79,6,11.3,18.4,1979-03-28,2,-4.1,1979-03-01
108,서울,Apr-79,11.2,16.2,23.8,1979-04-12,6.8,0.4,1979-04-04
108,서울,May-79,16.5,22.2,29.1,1979-05-30,11.6,8,1979-05-03
108,서울,Jun-79,21.4,25.4,28.9,1979-06-30,18.2,14.4,1979-06-11
108,서울,Jul-79,24.3,28.5,32.2,1979-07-27,21.3,17.5,1979-07-18
108,서울,Aug-79,25.4,29.5,32.6,1979-08-13,22,16.2,1979-08-28
108,서울,Sep-79,20.1,25,29.7,1979-09-05,15.9,8.9,1979-09-27
108,서울,Oct-79,15.9,21.9,26.3,1979-10-17,10.7,2.9,1979-10-22
108,서울,Nov-79,5.7,10.5,23.5,1979-11-03,1.6,-11.1,1979-11-14
108,서울,Dec-79,1.4,5.3,11.7,1979-12-19,-1.8,-10.7,1979-12-25
108,서울,Jan-80,-3.7,0.5,8.9,1980-01-28,-7.3,-15.9,1980-01-17
108,서울,Feb-80,-3.1,1.8,12,1980-02-29,-7,-14.5,1980-02-07
108,서울,Mar-80,5.2,10.8,18.1,1980-03-29,1,-2.6,1980-03-11
108,서울,Apr-80,10.1,15.3,21,1980-04-04,5.7,1.4,1980-04-02
108,서울,May-80,16.5,22.1,31.7,1980-05-31,11.6,7.5,1980-05-17
108,서울,Jun-80,21.6,26.5,31.6,1980-06-14,17.5,12.1,1980-06-02
108,서울,Jul-80,22.7,26.7,30.3,1980-07-09,19.9,16.9,1980-07-01
108,서울,Aug-80,22.8,26.7,30.6,1980-08-01,19.9,17.2,1980-08-08
108,서울,Sep-80,19.6,24.9,29,1980-09-01,15.2,8.1,1980-09-23
108,서울,Oct-80,13,18.7,25.6,1980-10-04,8.2,0,1980-10-26
108,서울,Nov-80,8.6,13.5,19.8,1980-11-19,4.3,-1.7,1980-11-14
108,서울,Dec-80,-3.8,0.3,12,1980-12-01,-7.4,-16.2,1980-12-29
108,서울,Jan-81,-7,-2.6,1.3,1981-01-31,-10.7,-16.5,1981-01-04
108,서울,Feb-81,-1.4,2.7,11.7,1981-02-14,-5,-15.6,1981-02-26
108,서울,Mar-81,5.7,11.5,21.7,1981-03-13,1,-5.1,1981-03-06
108,서울,Apr-81,11.9,17.8,25.3,1981-04-28,7,1.7,1981-04-03
108,서울,May-81,15.9,20.9,28.5,1981-05-27,11.6,5.4,1981-05-04
108,서울,Jun-81,21.8,26.8,30.7,1981-06-16,17.5,8.8,1981-06-01
108,서울,Jul-81,25.4,29.3,35.2,1981-07-31,22.5,19.2,1981-07-10
108,서울,Aug-81,24.5,28.7,33,1981-08-14,21.1,17.2,1981-08-31
108,서울,Sep-81,20,25,29,1981-09-23,15.8,11.6,1981-09-14
108,서울,Oct-81,13.4,18.1,23.3,1981-10-01,9,0.6,1981-10-23
108,서울,Nov-81,3.6,7.5,13.6,1981-11-01,-0.1,-7,1981-11-08
108,서울,Dec-81,0.1,4.1,10.2,1981-12-26,-3.7,-11,1981-12-02
108,서울,Jan-82,-3.5,0.8,6.8,1982-01-11,-7.1,-14.1,1982-01-29
108,서울,Feb-82,0.6,5.5,12.3,1982-02-23,-3.4,-11.8,1982-02-07
108,서울,Mar-82,5.9,10.9,17,1982-03-13,1.7,-5.3,1982-03-07
108,서울,Apr-82,12.3,18.1,27.5,1982-04-25,7.5,3.1,1982-04-10
108,서울,May-82,17.9,22.9,28.9,1982-05-30,13.7,8,1982-05-05
108,서울,Jun-82,21.9,27.3,30.6,1982-06-05,17.4,11.7,1982-06-03
108,서울,Jul-82,25.1,30.1,33.7,1982-07-14,21.3,18.3,1982-07-01
108,서울,Aug-82,25.4,29.2,35.5,1982-08-11,22.4,18.3,1982-08-31
108,서울,Sep-82,20.8,26.3,30.9,1982-09-01,15.5,9.9,1982-09-27
108,서울,Oct-82,15.8,21.8,28.2,1982-10-08,10.8,-1.1,1982-10-25
108,서울,Nov-82,7.9,12.5,21.4,1982-11-07,3.8,-7.1,1982-11-25
108,서울,Dec-82,-0.1,3.7,10.6,1982-12-21,-3.5,-9.8,1982-12-06
108,서울,Jan-83,-1.7,2.6,9.2,1983-01-06,-5.4,-13.9,1983-01-09
108,서울,Feb-83,-1.7,2.4,10.3,1983-02-28,-5.6,-13.3,1983-02-12
108,서울,Mar-83,6.4,11.3,18.9,1983-03-30,2,-3.6,1983-03-14
108,서울,Apr-83,13.6,19,26.7,1983-04-10,8.4,0.8,1983-04-03
108,서울,May-83,18.5,23.7,29.9,1983-05-30,13.3,7.3,1983-05-02
