"자치구별","범죄별","항목","단위","2008. 01 월","2008. 02 월","2008. 03 월","2008. 04 월","2008. 05 월","2008. 06 월","2008. 07 월","2008. 08 월","2008. 09 월","2008. 10 월","2008. 11 월","2008. 12 월","2009. 01 월","2009. 02 월","2009. 03 월","2009. 04 월","2009. 05 월","2009. 06 월","2009. 07 월","2009. 08 월","2009. 09 월","2009. 10 월","2009. 11 월","2009. 12 월","2010. 01 월","2010. 02 월","2010. 03 월","2010. 04 월","2010. 05 월","2010. 06 월","2010. 07 월","2010. 08 월","2010. 09 월","2010. 10 월","2010. 11 월","2010. 12 월","2011. 01 월","2011. 02 월","2011. 03 월","2011. 04 월","2011. 05 월","2011. 06 월","2011. 07 월","2011. 08 월","2011. 09 월","2011. 10 월","2011. 11 월","2011. 12 월","2012. 01 월","2012. 02 월","2012. 03 월","2012. 04 월","2012. 05 월","2012. 06 월","2012. 07 월","2012. 08 월","2012. 09 월","2012. 10 월","2012. 11 월","2012. 12 월","2013. 01 월","2013. 02 월","2013. 03 월","2013. 04 월","2013. 05 월","2013. 06 월","2013. 07 월","2013. 08 월","2013. 09 월","2013. 10 월","2013. 11 월","2013. 12 월","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","폭력","발생","","5534","4534","5690","6080","6427","6958","6791","6023","6979","6907","5871","6493","5081","5119","6532","6531","7049","7459","6870","5544","6117","5626","5611","5528","4783","4300","5515","5474","6017","6071","5909","6330","6160","6103","6018","6118","5276","4889","6214","5379","6174","6130","7332","6730","6035","6087","6077","5738","5235","4683","5418","5852","6426","6346","6775","6513","5986","6563","5559","5276","4990","4192","4936","5363","5834","5740","6366","5796","5603","6016","5367","5219","96934","98983","81847","81910","80365","74809","70723","73999","74287","73067","68798","72061","70632","65422","65318","65206","64570","59399","56075","54723","48344","41757",
"합계","폭력","검거","","5342","4341","5464","5843","6135","6724","6494","5788","6686","6640","5503","6115","4854","4882","6216","6243","6731","7135","6559","5431","5790","5416","5240","5303","4646","4133","5334","5181","5185","5120","5051","5404","5303","5158","5044","5002","4384","3748","4896","4714","5314","5277","5450","5730","5359","5191","4964","4671","4347","3907","4572","4876","5312","5286","5568","5391","5031","5501","4581","4238","4124","3400","4157","4516","4900","4653","5311","4855","4662","5020","4468","4209","90227","88688","74034","75143","75427","71290","67520","70913","71075","69800","60561","59698","58610","54275","54533","55356","55886","51576","48389","47253","41127","35388",
"종로구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5021","4705","4459","4057","3690","3846","3102","2712",
"종로구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4610","4430","4298","4437","3913","4117","3343","2755",
"종로구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","6","6","7","6","4","9","6",
"종로구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","8","5","9","7","5","7","3",
"종로구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","11","12","10","3","7","7","4",
"종로구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","13","14","15","7","8","9","4",
"종로구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226","211","238","253","236","238","192","156",
"종로구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","948","1139","1106","1412","1100","1143","855","757",
